"";"Annee";"Num_operation";"date_peche";"Code_station";"Code_espece_onema";"Code_INPN";"Effectif_peche"
"94";1984;5189;1984-10-03;"04181960";"VAI";67404;2
"95";1984;5581;1984-09-20;"04383000";"ANG";66832;7
"96";1984;5581;1984-09-20;"04383000";"CHA";69182;6
"97";1984;5581;1984-09-20;"04383000";"EPT";69016;87
"98";1984;5581;1984-09-20;"04383000";"GOU";67257;2
"99";1984;5581;1984-09-20;"04383000";"LOF";67550;227
"100";1984;5581;1984-09-20;"04383000";"TRF";67778;123
"101";1984;5581;1984-09-20;"04383000";"VAI";67404;412
"102";1984;10712;1984-09-05 10:30:00;"03020211";"ANG";66832;1
"103";1984;10712;1984-09-05 10:30:00;"03020211";"BAF";67143;23
"104";1984;10712;1984-09-05 10:30:00;"03020211";"BRO";67606;3
"105";1984;10712;1984-09-05 10:30:00;"03020211";"CHA";69182;20
"106";1984;10712;1984-09-05 10:30:00;"03020211";"CHE";67310;9
"107";1984;10712;1984-09-05 10:30:00;"03020211";"GAR";67422;31
"108";1984;10712;1984-09-05 10:30:00;"03020211";"GOU";67257;18
"109";1984;10712;1984-09-05 10:30:00;"03020211";"LOF";67550;2
"110";1984;10712;1984-09-05 10:30:00;"03020211";"LOT";68336;124
"111";1984;10712;1984-09-05 10:30:00;"03020211";"LPP";66333;1
"112";1984;10712;1984-09-05 10:30:00;"03020211";"PER";69350;10
"113";1984;10712;1984-09-05 10:30:00;"03020211";"TRF";67778;3
"114";1984;10712;1984-09-05 10:30:00;"03020211";"VAI";67404;6
"115";1984;10712;1984-09-05 10:30:00;"03020211";"VAN";67295;84
"116";1984;33514;1984-05-17;NA;"ANG";66832;10
"117";1984;33514;1984-05-17;NA;"BAF";67143;2
"118";1984;33514;1984-05-17;NA;"BRE";67074;4
"119";1984;33514;1984-05-17;NA;"BRO";67606;1
"120";1984;33514;1984-05-17;NA;"CHE";67310;15
"121";1984;33514;1984-05-17;NA;"GAR";67422;24
"122";1984;33514;1984-05-17;NA;"GOU";67257;28
"123";1984;33514;1984-05-17;NA;"LOF";67550;1
"124";1984;33514;1984-05-17;NA;"SPI";67104;1
"125";1984;33514;1984-05-17;NA;"TAN";67478;2
"126";1985;3962;1985-10-15 10:00:00;"03222780";"CHA";69182;96
"127";1985;3962;1985-10-15 10:00:00;"03222780";"LOF";67550;2
"128";1985;3962;1985-10-15 10:00:00;"03222780";"LPP";66333;1
"129";1985;3962;1985-10-15 10:00:00;"03222780";"TRF";67778;104
"130";1985;3962;1985-10-15 10:00:00;"03222780";"VAI";67404;8
"131";1985;4597;1985-07-03;"03273242";"ANG";66832;48
"132";1985;4597;1985-07-03;"03273242";"CHA";69182;84
"133";1985;4597;1985-07-03;"03273242";"GOU";67257;7
"134";1985;4597;1985-07-03;"03273242";"LOF";67550;5
"135";1985;4597;1985-07-03;"03273242";"LPP";66333;3
"136";1985;4597;1985-07-03;"03273242";"SAT";67765;96
"137";1985;4597;1985-07-03;"03273242";"TRF";67778;21
"138";1985;4597;1985-07-03;"03273242";"VAI";67404;13
"139";1985;4598;1985-07-03;"03273242";"ANG";66832;40
"140";1985;4598;1985-07-03;"03273242";"CHA";69182;41
"141";1985;4598;1985-07-03;"03273242";"GOU";67257;1
"142";1985;4598;1985-07-03;"03273242";"LOF";67550;5
"143";1985;4598;1985-07-03;"03273242";"LPP";66333;1
"144";1985;4598;1985-07-03;"03273242";"SAT";67765;25
"145";1985;4598;1985-07-03;"03273242";"TRF";67778;16
"146";1985;4598;1985-07-03;"03273242";"TRM";67774;1
"147";1985;4598;1985-07-03;"03273242";"VAI";67404;19
"148";1985;5201;1985-10-29;"04181960";"ANG";66832;27
"149";1985;5201;1985-10-29;"04181960";"CHA";69182;31
"150";1985;5201;1985-10-29;"04181960";"LOF";67550;5
"151";1985;5201;1985-10-29;"04181960";"LPP";66333;3
"152";1985;5201;1985-10-29;"04181960";"SAT";67765;41
"153";1985;5201;1985-10-29;"04181960";"TRF";67778;197
"154";1985;8653;1985-07-23 05:00:00;"03006236";"CHA";69182;27
"155";1985;8653;1985-07-23 05:00:00;"03006236";"GAR";67422;9
"156";1985;8653;1985-07-23 05:00:00;"03006236";"LOF";67550;8
"157";1985;8653;1985-07-23 05:00:00;"03006236";"PER";69350;3
"158";1985;8653;1985-07-23 05:00:00;"03006236";"ROT";67466;3
"159";1985;8653;1985-07-23 05:00:00;"03006236";"TRF";67778;89
"160";1985;8653;1985-07-23 05:00:00;"03006236";"VAI";67404;455
"161";1985;9584;1985-08-27;"03018362";"ABL";67111;5
"162";1985;9584;1985-08-27;"03018362";"BRO";67606;17
"163";1985;9584;1985-08-27;"03018362";"CHE";67310;25
"164";1985;9584;1985-08-27;"03018362";"GAR";67422;58
"165";1985;9584;1985-08-27;"03018362";"LOT";68336;28
"166";1985;9584;1985-08-27;"03018362";"PER";69350;6
"167";1985;9584;1985-08-27;"03018362";"ROT";67466;1
"168";1985;9584;1985-08-27;"03018362";"VAI";67404;5
"169";1985;9584;1985-08-27;"03018362";"VAN";67295;19
"170";1985;9716;1985-07-23;"03014324";"CHA";69182;100
"171";1985;9716;1985-07-23;"03014324";"CHE";67310;6
"172";1985;9716;1985-07-23;"03014324";"GAR";67422;3
"173";1985;9716;1985-07-23;"03014324";"GOU";67257;1
"174";1985;9716;1985-07-23;"03014324";"LOF";67550;38
"175";1985;9716;1985-07-23;"03014324";"LPP";66333;1
"176";1985;9716;1985-07-23;"03014324";"OBR";67759;3
"177";1985;9716;1985-07-23;"03014324";"TRF";67778;108
"178";1985;9716;1985-07-23;"03014324";"VAI";67404;208
"179";1985;9763;1985-08-06;"03085824";"CHA";69182;270
"180";1985;9763;1985-08-06;"03085824";"GAR";67422;1
"181";1985;9763;1985-08-06;"03085824";"GOU";67257;10
"182";1985;9763;1985-08-06;"03085824";"LOF";67550;215
"183";1985;9763;1985-08-06;"03085824";"PER";69350;2
"184";1985;9763;1985-08-06;"03085824";"TRF";67778;93
"185";1985;9763;1985-08-06;"03085824";"VAI";67404;509
"186";1985;9888;1985-08-28;"03020188";"BRO";67606;17
"187";1985;9888;1985-08-28;"03020188";"CHA";69182;63
"188";1985;9888;1985-08-28;"03020188";"CHE";67310;2
"189";1985;9888;1985-08-28;"03020188";"GOU";67257;9
"190";1985;9888;1985-08-28;"03020188";"LOF";67550;28
"191";1985;9888;1985-08-28;"03020188";"LOT";68336;22
"192";1985;9888;1985-08-28;"03020188";"TRF";67778;70
"193";1985;9888;1985-08-28;"03020188";"VAI";67404;83
"194";1985;9888;1985-08-28;"03020188";"VAN";67295;32
"195";1985;10071;1985-07-25;"03022298";"ABL";67111;15
"196";1985;10071;1985-07-25;"03022298";"BAF";67143;7
"197";1985;10071;1985-07-25;"03022298";"CHE";67310;29
"198";1985;10071;1985-07-25;"03022298";"GAR";67422;19
"199";1985;10071;1985-07-25;"03022298";"GOU";67257;61
"200";1985;10071;1985-07-25;"03022298";"HOT";67220;1
"201";1985;10071;1985-07-25;"03022298";"LOT";68336;20
"202";1985;10071;1985-07-25;"03022298";"PER";69350;6
"203";1985;10071;1985-07-25;"03022298";"VAN";67295;22
"204";1985;10178;1985-07-22;"03021350";"CHA";69182;60
"205";1985;10178;1985-07-22;"03021350";"CHE";67310;4
"206";1985;10178;1985-07-22;"03021350";"LOF";67550;16
"207";1985;10178;1985-07-22;"03021350";"TRF";67778;34
"208";1985;10178;1985-07-22;"03021350";"VAI";67404;95
"209";1985;10622;1985-08-29;"03020895";"ABL";67111;1
"210";1985;10622;1985-08-29;"03020895";"BAF";67143;4
"211";1985;10622;1985-08-29;"03020895";"BRB";67203;3
"212";1985;10622;1985-08-29;"03020895";"BRO";67606;17
"213";1985;10622;1985-08-29;"03020895";"CHA";69182;3
"214";1985;10622;1985-08-29;"03020895";"CHE";67310;12
"215";1985;10622;1985-08-29;"03020895";"GAR";67422;58
"216";1985;10622;1985-08-29;"03020895";"HOT";67220;4
"217";1985;10622;1985-08-29;"03020895";"LOT";68336;9
"218";1985;10622;1985-08-29;"03020895";"PER";69350;5
"219";1985;10622;1985-08-29;"03020895";"TRF";67778;1
"220";1985;10622;1985-08-29;"03020895";"VAI";67404;3
"221";1985;10622;1985-08-29;"03020895";"VAN";67295;8
"222";1985;10857;1985-07-22;"03021196";"CHA";69182;87
"223";1985;10857;1985-07-22;"03021196";"EPI";426026;1
"224";1985;10857;1985-07-22;"03021196";"LOF";67550;67
"225";1985;10857;1985-07-22;"03021196";"TRF";67778;135
"226";1985;10857;1985-07-22;"03021196";"VAI";67404;196
"227";1985;34259;1985-09-04;NA;"GOU";67257;14
"228";1985;34259;1985-09-04;NA;"LOF";67550;1
"229";1985;34259;1985-09-04;NA;"TRF";67778;630
"230";1985;34259;1985-09-04;NA;"VAI";67404;28
"231";1985;34835;1985-06-05;NA;"ANG";66832;2
"232";1985;34835;1985-06-05;NA;"CHA";69182;213
"233";1985;34835;1985-06-05;NA;"LOF";67550;9
"234";1985;34835;1985-06-05;NA;"TRF";67778;114
"235";1985;34835;1985-06-05;NA;"VAI";67404;398
"236";1985;35164;1985-06-25;NA;"ANG";66832;2
"237";1985;35164;1985-06-25;NA;"BAM";67179;99
"238";1985;35164;1985-06-25;NA;"CHE";67310;132
"239";1985;35164;1985-06-25;NA;"GOU";67257;41
"240";1985;35164;1985-06-25;NA;"LOF";67550;56
"241";1985;35164;1985-06-25;NA;"TAC";67804;2
"242";1985;35164;1985-06-25;NA;"VAI";67404;93
"243";1985;35636;1985-06-05;NA;"BAM";67179;6
"244";1985;35636;1985-06-05;NA;"GOU";67257;29
"245";1985;35636;1985-06-05;NA;"LOF";67550;311
"246";1985;35636;1985-06-05;NA;"LPP";66333;1
"247";1985;35636;1985-06-05;NA;"TAC";67804;4
"248";1985;35636;1985-06-05;NA;"TRF";67778;150
"249";1985;35636;1985-06-05;NA;"VAI";67404;2564
"250";1986;611;1986-09-02;"03115882";"BRO";67606;3
"251";1986;611;1986-09-02;"03115882";"CHA";69182;41
"252";1986;611;1986-09-02;"03115882";"CHE";67310;1
"253";1986;611;1986-09-02;"03115882";"EPI";426026;2
"254";1986;611;1986-09-02;"03115882";"GAR";67422;94
"255";1986;611;1986-09-02;"03115882";"GOU";67257;43
"256";1986;611;1986-09-02;"03115882";"GRE";69354;1
"257";1986;611;1986-09-02;"03115882";"LOF";67550;10
"258";1986;611;1986-09-02;"03115882";"PER";69350;11
"259";1986;611;1986-09-02;"03115882";"VAN";67295;2
"260";1986;5207;1986-11-04;"04181960";"ANG";66832;4
"261";1986;5207;1986-11-04;"04181960";"CHA";69182;11
"262";1986;5207;1986-11-04;"04181960";"GAR";67422;1
"263";1986;5207;1986-11-04;"04181960";"LOF";67550;2
"264";1986;5207;1986-11-04;"04181960";"SAT";67765;12
"265";1986;5207;1986-11-04;"04181960";"TRF";67778;121
"266";1986;5207;1986-11-04;"04181960";"VAI";67404;2
"267";1986;8347;1986-08-12;"03102679";"ANG";66832;1
"268";1986;8347;1986-08-12;"03102679";"BAF";67143;3
"269";1986;8347;1986-08-12;"03102679";"BRE";67074;2
"270";1986;8347;1986-08-12;"03102679";"BRO";67606;17
"271";1986;8347;1986-08-12;"03102679";"CHA";69182;6
"272";1986;8347;1986-08-12;"03102679";"CHE";67310;1
"273";1986;8347;1986-08-12;"03102679";"GAR";67422;18
"274";1986;8347;1986-08-12;"03102679";"HOT";67220;1
"275";1986;8347;1986-08-12;"03102679";"LOF";67550;7
"276";1986;8347;1986-08-12;"03102679";"LOT";68336;8
"277";1986;8347;1986-08-12;"03102679";"PER";69350;1
"278";1986;8347;1986-08-12;"03102679";"TRF";67778;9
"279";1986;8347;1986-08-12;"03102679";"VAI";67404;130
"280";1986;8347;1986-08-12;"03102679";"VAN";67295;7
